mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_stft_mean,spectral_contrast_mean,tonnetz_mean,tempo,file
-57.743294,83.95087,7.773636,22.18289,9.917427,13.011293,2.4350991,15.229846,-7.298119,11.456588,4.815867,8.629135,6.665056,0.52069575,22.529480939044767,0.03070984818583029,103.359375,Mano Refigham
-107.44821,96.02773,33.783966,10.045504,19.265905,4.2603188,0.5557531,5.377143,-9.630949,0.6929558,-5.6953526,0.048214052,-5.6061063,0.3655708,23.048722652606067,-0.0025272996762727437,86.1328125,Khabari Azat Nist
-77.68506,101.48891,20.872442,21.226244,4.414154,9.206129,-4.9659905,3.1207705,-0.108842075,-1.7960907,-0.63741523,2.282209,-0.70058703,0.46374407,22.151413924772687,-0.003858253116856175,123.046875,Dolphin - Young Sudden X Sijal X Sepehr Khalse
-103.899864,92.24277,20.53383,11.573726,6.092228,11.734562,1.8915538,5.7071314,-5.4474587,3.5718706,-0.63593405,-0.92558855,-1.3583959,0.38584298,23.096046762805514,0.08018520460634274,92.28515625,Vinak X Kagan - Ghasedak
-142.8717,104.63908,22.19953,18.184196,12.682533,13.223325,4.4148297,11.883233,-5.2715535,7.1418834,0.6947927,5.8180194,6.9234204,0.42231318,24.790429292870247,0.05874184818441686,99.38401442307692,Too Moshtam
-97.42953,84.96465,30.427195,6.924812,15.119903,8.816579,0.95393014,1.7871054,-12.0364275,5.363284,-4.416749,-1.8878063,-4.2955055,0.3699103,24.57069493947592,0.03869661093283561,95.703125,Shahre gharib (ft. Shayan Eshraghi)
-162.32422,63.236774,-5.2815523,8.930253,8.884378,10.11714,-7.754119,9.977644,-10.829858,2.6760666,-2.2157493,1.5628004,0.41231006,0.42793894,22.870972547705417,0.007882052067291801,95.703125,Berim Baham (Solo Version)
-154.19196,77.28772,6.0010114,0.64938873,1.1016269,-9.926998,-2.72067,-6.399084,-2.5226097,-3.6107795,-8.016526,-1.9650425,-9.67423,0.3558527,23.872221011369778,-0.051679163377239726,123.046875,Morvarid Sefid
-173.178,118.01297,25.649124,17.086555,8.708686,-0.5749681,-9.895327,-6.2895226,-12.49447,-6.057078,-9.781294,-5.727606,-9.818433,0.30869934,24.16652091956614,-0.06473241305199913,123.046875,Khoda Kooshi (feat. Mehrad Hidden)
-100.69005,105.444954,6.550621,13.698902,7.183927,3.489246,-6.069452,-3.0233846,-11.79317,-1.473126,-6.2836347,-3.2704635,-3.0999963,0.35581484,22.877713283007218,0.03553803433035509,95.703125,"Cheshmat (Gdaal Ft A2 , Hoomaan , I.Da & Madgal)"
-88.20758,86.23892,5.408271,24.97653,9.889186,-2.104048,3.5922651,-0.23537682,-13.23432,7.20678,-7.0264726,0.14852862,2.0140495,0.3857141,23.814356292343387,0.053281420722099994,99.38401442307692,Belaad Party [ Prod. Kagan}
-108.71473,103.448044,14.627326,3.3679452,-2.4340906,6.012125,-7.3249145,2.222151,-7.140118,1.2701201,-5.0173216,5.1717596,1.3139358,0.40440336,23.192661226831135,0.025816216963574997,99.38401442307692,Jealous
-70.96938,87.40438,5.101442,14.452439,16.265345,2.3064263,-3.425201,1.9265075,-9.919552,2.4399657,-5.6671453,-2.2835555,-5.9081116,0.42741695,22.860313773052827,-0.0013140127865250136,112.34714673913044,Door Azin Shahr (Feat. PDC & Hoomaan)
-103.018135,85.61658,21.224997,15.143627,13.130294,10.735069,-1.929174,10.606381,-7.23973,7.94727,-1.3037922,2.6929872,-0.68482983,0.4089066,23.332327551925555,0.08136228743905781,95.703125,Ghasedak - Vinak x Tiem x Casi [HN.BEATZ]
-156.9919,122.08128,9.772526,5.583168,11.234328,7.1528835,0.3371156,4.5687613,-0.6166166,7.2694488,-0.82650506,4.798949,4.03466,0.38290957,24.730833393371928,0.02345716445226155,112.34714673913044,Wantons - Cheshmak (Ft AFX)
-83.768005,78.021385,23.95762,15.866291,17.647316,-0.26221725,-2.050172,-2.624342,-18.054874,0.74173087,-14.542888,-5.658022,-8.238518,0.3556431,24.384110442971878,-0.004934791876650249,129.19921875,Hiphopologist - Bache Bad B (Maometto Remix).wav
-90.78391,80.90096,16.256163,9.917997,9.562462,-1.6531527,-6.129581,-1.6288942,-14.098571,0.48756874,-12.648204,-1.762968,-5.5983233,0.35633382,23.98117951213824,0.02967940626459174,117.45383522727273,Chete baby (Ft. Hosen)
-96.4705,99.941635,17.572268,23.838705,15.115786,13.000553,-1.0181453,6.407393,-15.342919,0.19075057,-10.420348,1.1954969,-5.155426,0.3387204,24.698581624269433,0.04525710408182191,117.45383522727273,Zemestoon hooman
-64.50454,89.16325,2.8390796,17.020632,10.824429,9.537001,3.8514092,7.430581,-2.4283695,7.543615,0.8955071,7.2019773,3.7102451,0.50722605,21.977514142890925,-0.02991462378799396,129.19921875,Sijal x Catchybeatz - TKF
-102.28002,96.27682,11.375094,15.500396,18.923588,7.073567,1.3822043,4.7886705,-7.9220486,4.0363355,0.26384285,7.178878,2.235574,0.4932338,24.10837278524336,-0.04646978771688547,123.046875,Arta x Poobon x Travis Scott (By Ehsan)
-83.661804,110.36447,10.352959,12.5742235,0.19317497,-0.26530528,-2.4424686,-1.1822984,-9.309024,2.3653781,-6.078945,-1.3006239,-2.5827143,0.40542433,22.220551489415257,-0.041242770288134396,89.10290948275862,Octave - Ki Mese Man
-139.46262,100.51708,18.598492,10.258523,7.6055737,1.7751924,-4.9368134,1.1879174,-6.695692,1.339928,-0.23208398,-2.522135,-6.284106,0.36415386,24.03087446343899,0.07087922908279132,89.10290948275862,Sepehr Khalse - Shahraam (Official Audio)
-65.80275,75.4327,16.78882,17.10046,11.749674,11.697779,-4.2938395,3.3460448,-7.275102,2.6050203,-2.0693603,3.3130836,-0.9044365,0.4330919,22.147715583075968,-0.019064273509112318,129.19921875,"Koorosh, Arta, Behzad Leito, CatchyBeatz & Sami Low - After ｜ OFFICIAL TRACK"
-71.65203,84.31153,13.4091425,20.03163,11.047992,7.350313,-1.62781,3.8749003,-6.9587545,4.117021,-2.6009507,4.45301,0.49513248,0.4655654,23.28871387368097,0.009378157172968695,123.046875,Smoke N Drive VOL.10 by EXIN
-95.3286,96.71381,22.81325,18.201206,6.445443,1.5005084,-4.9796605,-2.7816737,-5.6670704,-0.6733912,-7.737841,-2.745247,-5.564135,0.34338027,23.291673776648178,0.050419209165503236,117.45383522727273,Text Alireza Jj ( ft  Radochi x Ayzun )
